列1,Sentence_ID,Frame,Lexical_Unit,Sentence,L1,key,R1,x1_past,x2_clause,y
54,4097142,Reasoning,argue.v,"Iran has denied the charges that it is pursuing a nuclear weapons program , and argues that nuclear technology for civilian use is the right of every non - nuclear weapon state party to the NPT .","Iran has denied the charges that it is pursuing a nuclear weapons program , and ",argues,that nuclear technology for civilian use is the right of every non - nuclear weapon state party to the NPT .,0,1,0
55,4097681,Reasoning,argue.v,Those who believe North Korea is a revisionist state argue that Pyongyang 's nuclear motivations constitute a serious external threat .,Those who believe North Korea is a revisionist state ,argue,that Pyongyang 's nuclear motivations constitute a serious external threat .,0,1,0
56,4097683,Reasoning,argue.v,"Many analysts also argue that Pyongyang 's record of exporting ballistic missiles indicates that North Korea would also be willing to sell nuclear materials , technology , or complete nuclear weapons .",Many analysts also ,argue,"that Pyongyang 's record of exporting ballistic missiles indicates that North Korea would also be willing to sell nuclear materials , technology , or complete nuclear weapons .",0,1,0
57,4097685,Reasoning,argue.v,Proponents of this school often argue that North Korea 's nuclear motivations are defensive in nature and designed to deter external threats to the DPRK .,Proponents of this school often ,argue,that North Korea 's nuclear motivations are defensive in nature and designed to deter external threats to the DPRK .,0,1,0
58,4097687,Reasoning,argue.v,"However , critics argue that Pyongyang 's behavior is inconsistent and that this evidence is not credible .","However , critics ",argue,that Pyongyang 's behavior is inconsistent and that this evidence is not credible .,0,1,0
59,4148581,Reasoning,argue.v,At first they were of a mind to let him enter the house and to kill him as a detected burglar ; but they argued that if they were mixed up in an inquiry their own identity would at once be publicly disclosed and they would be open to further attacks .,At first they were of a mind to let him enter the house and to kill him as a detected burglar ; but they ,argued,that if they were mixed up in an inquiry their own identity would at once be publicly disclosed and they would be open to further attacks .,1,1,0
60,363844,Quarreling,argue.v,"Finally the clock struck three , then four , finally Francis and Jamie lurched down the stairs arguing about how late the late night bars stayed open or had they got the energy to visit the Heath . ","Finally the clock struck three , then four , finally Francis and Jamie lurched down the stairs ",arguing,about how late the late night bars stayed open or had they got the energy to visit the Heath . ,0,1,1
61,363848,Quarreling,argue.v,"They argued angrily over who was the real ` Prince of Sleaze "" for running commercials attacking the other 's honesty . ",They ,argued,"angrily over who was the real ` Prince of Sleaze "" for running commercials attacking the other 's honesty . ",1,1,1
62,363852,Quarreling,argue.v,Mr and Mrs Popple always argued at least once a week . ,Mr and Mrs Popple always ,argued,at least once a week . ,1,0,1
63,363855,Quarreling,argue.v,They argued endlessly about it . ,They ,argued,endlessly about it . ,1,0,1
64,363857,Quarreling,argue.v,"Three generations have passed through this room , slept here , argued here , made love here , even died here . ","Three generations have passed through this room , slept here , ",argued,"here , made love here , even died here . ",1,0,1
65,363869,Quarreling,argue.v,Auction houses and buyers argue over compensation ,Auction houses and buyers ,argue,over compensation ,0,0,1
66,363872,Quarreling,argue.v,"One can argue whether or not one-party patronage , as in Britain , is even worse . ",One can ,argue,"whether or not one-party patronage , as in Britain , is even worse . ",0,1,1
67,363877,Quarreling,argue.v,I opened my mouth to argue but he was walking away . ,I opened my mouth to ,argue,but he was walking away . ,0,0,1
68,363886,Quarreling,argue.v,"It was a general point , we were not arguing . ","It was a general point , we were not ",arguing,. ,1,0,1
69,363889,Quarreling,argue.v,"On and on the battle had raged ; on and on they 'd argued , neither giving an inch . ",On and on the battle had raged ; on and on they 'd ,argued,", neither giving an inch . ",0,0,1
70,363940,Quarreling,argue.v,"` We tried to encourage the people to work with each other , and talk to politicians , because they argued a lot about what they were going to do all the time , "" he said . ","` We tried to encourage the people to work with each other , and talk to politicians , because they ",argued,"a lot about what they were going to do all the time , "" he said . ",1,1,1
71,363965,Quarreling,argue.v,"` You ca n't argue politics with foreigners , "" sighed the policeman . ",` You ca n't ,argue,"politics with foreigners , "" sighed the policeman . ",0,0,1
72,363966,Quarreling,argue.v,"Legend has it that on the orders of Emperor Maxentius , fifty philosophers attempted to argue the religious facts with her . ","Legend has it that on the orders of Emperor Maxentius , fifty philosophers attempted to ",argue,the religious facts with her . ,0,0,1
73,363967,Quarreling,argue.v,"I argued this point with him , but he was obdurate in the matter . ",I ,argued,"this point with him , but he was obdurate in the matter . ",1,0,1
74,363968,Quarreling,argue.v,"He was going to take any opportunity he could to get her off his team , so there was little point in her trying to argue her case with him . ","He was going to take any opportunity he could to get her off his team , so there was little point in her trying to ",argue,her case with him . ,0,0,1
75,363970,Quarreling,argue.v,` You dare to argue the Holy Bible with me ? ,` You dare to ,argue,the Holy Bible with me ? ,0,0,1
76,363971,Quarreling,argue.v,Whenever I have argued this point with other anglers they inevitably say that all you need to do is use a long link and a short hook-length when link-legering to obtain the same effect . ,Whenever I have ,argued,this point with other anglers they inevitably say that all you need to do is use a long link and a short hook-length when link-legering to obtain the same effect . ,1,0,1
77,363972,Quarreling,argue.v,Wallaby skipper Nick Farr-Jones argues the toss with Scottish referee Ken McCartney -- but will his competitive instincts see him through a gruelling campaign as the World Champions take on South Africa this summer ? ,Wallaby skipper Nick Farr-Jones ,argues,the toss with Scottish referee Ken McCartney -- but will his competitive instincts see him through a gruelling campaign as the World Champions take on South Africa this summer ? ,0,0,1
78,363973,Quarreling,argue.v,He translated for us and it was only after he had argued our case with the Head of Austrian Customs that we started to get somewhere . ,He translated for us and it was only after he had ,argued,our case with the Head of Austrian Customs that we started to get somewhere . ,1,0,1
79,363974,Quarreling,argue.v,We have been arguing the point with the inspector at claims branch for many many months and we just seem to go round in circles . ,We have been ,arguing,the point with the inspector at claims branch for many many months and we just seem to go round in circles . ,0,0,1
80,363978,Quarreling,argue.v,Rachel does n't argue about coming to London . ,Rachel does n't ,argue,about coming to London . ,0,0,1
81,363979,Quarreling,argue.v,Anne says they argue about ringing the bell . ,Anne says they ,argue,about ringing the bell . ,0,0,1
82,363994,Quarreling,argue.v,"` The reason a lot of women and men argue without hearing each other is that many women lack the bottom harmonics in their voices , while men do n't allow themselves the upper harmonics . ",` The reason a lot of women and men ,argue,"without hearing each other is that many women lack the bottom harmonics in their voices , while men do n't allow themselves the upper harmonics . ",0,0,1
83,364003,Quarreling,argue.v,They argued amicably over who should pay . ,They ,argued,amicably over who should pay . ,1,1,1
84,364028,Quarreling,argue.v,It 's not the time to argue about the small print of your contract . ,It 's not the time to ,argue,about the small print of your contract . ,0,0,1
85,364035,Quarreling,argue.v,Behind him on the back seats of the bus four teenagers argued loudly over the cost of the litre of cider and half bottle of vodka they passed between them . ,Behind him on the back seats of the bus four teenagers ,argued,loudly over the cost of the litre of cider and half bottle of vodka they passed between them . ,1,0,1
86,364036,Quarreling,argue.v,"Whereas they eventually came to some agreement over the various ` courses "" , they argued vehemently over Elisabeth 's insistence that the recital should both begin and close with Strauss 's Morgen . ","Whereas they eventually came to some agreement over the various ` courses "" , they ",argued,vehemently over Elisabeth 's insistence that the recital should both begin and close with Strauss 's Morgen . ,1,0,1
87,364037,Quarreling,argue.v,International : Deputies argue over Russia 's new name ,International : Deputies ,argue,over Russia 's new name ,0,0,1
88,364042,Quarreling,argue.v,It is unwise ever to argue with a guide . ,It is unwise ever to ,argue,with a guide . ,0,0,1
89,364044,Quarreling,argue.v,"Once or twice , Ken argued with him and said : ` There was a pause there . ","Once or twice , Ken ",argued,with him and said : ` There was a pause there . ,1,0,1
90,364047,Quarreling,argue.v,And Jessamy knew better than to argue with him when he used that particular tone of voice . ,And Jessamy knew better than to ,argue,with him when he used that particular tone of voice . ,0,0,1
91,364049,Quarreling,argue.v,"Nevertheless , there are always some cowboys who like to argue with all and sundry , including their horse . ","Nevertheless , there are always some cowboys who like to ",argue,"with all and sundry , including their horse . ",0,0,1
92,364051,Quarreling,argue.v,"Ellen was still arguing with me as Thessy and I climbed in and backfired away , but I was no longer listening . ",Ellen was still ,arguing,"with me as Thessy and I climbed in and backfired away , but I was no longer listening . ",1,0,1
93,364052,Quarreling,argue.v,Tepilit and his brother can be seen arguing with the others . ,Tepilit and his brother can be seen ,arguing,with the others . ,0,0,1
94,364055,Quarreling,argue.v,You did n't argue with White Feet or Red Cloud because he knew best . ,You did n't ,argue,with White Feet or Red Cloud because he knew best . ,1,0,1
95,364057,Quarreling,argue.v,Lili could see Stan Valance arguing with Zimmer . ,Lili could see Stan Valance ,arguing,with Zimmer . ,0,0,1
96,364059,Quarreling,argue.v,"During those first few weeks Richard and Hudson were inseparable , racing with each other to get to the office in the mornings , arguing about who would lock the door at night . ","During those first few weeks Richard and Hudson were inseparable , racing with each other to get to the office in the mornings , ",arguing,about who would lock the door at night . ,0,1,1
97,364061,Quarreling,argue.v,They were arguing about who had the softest fabric and I was called in as arbitrator . ,They were ,arguing,about who had the softest fabric and I was called in as arbitrator . ,1,1,1
